paragraph_id,subject,subject_cui,subject_type,relation,object,object_cui,object_type,rule_valid,gemini_verdict
35631,mutations,C0026882,Genetic Function,OCCURS_IN,collagen vi,C0009325,"Amino Acid, Peptide, or Protein",False,TRUE
35631,cyclophilin d,C0390425,"Amino Acid, Peptide, or Protein",IS_A,protein,C0033684,"Amino Acid, Peptide, or Protein",False,TRUE
35631,cyclophilin d,C0390425,"Amino Acid, Peptide, or Protein",CAUSES,permeability,C0031164,Natural Phenomenon or Process,False,TRUE
35631,focal cerebral ischemia,C0007785,Disease or Syndrome,PRODUCES,necrosis,C0027540,Organ or Tissue Function,False,TRUE
35632,protein aggregation,C3850144,"Amino Acid, Peptide, or Protein",ASSOCIATED_WITH,pathogenesis,C0699748,Pathologic Function,False,TRUE
35632,protein aggregation,C3850144,"Amino Acid, Peptide, or Protein",MANIFESTATION_OF,neurodegenerative diseases,C0524851,Disease or Syndrome,False,TRUE
35632,β-amyloid,C0002716,"Amino Acid, Peptide, or Protein",ASSOCIATED_WITH,pathogenesis,C0699748,Pathologic Function,False,TRUE
35632,genetic mutations,C0026882,Genetic Function,OCCURS_IN,ad,C0002395,Disease or Syndrome,False,TRUE
35632,genetic mutations,C0026882,Genetic Function,PRODUCES,β-amyloid,C0002716,"Amino Acid, Peptide, or Protein",False,TRUE
35632,mutations,C0026882,Genetic Function,OCCURS_IN,amyloid precursor protein,C0085151,"Amino Acid, Peptide, or Protein",False,TRUE
35632,mutations,C0026882,Genetic Function,PREVENTS,ad,C0002395,Disease or Syndrome,False,TRUE
35632,cognition,C0009240,Mental Process,OCCURS_IN,elderly,C0001792,Population Group,False,TRUE
35632,mutations,C0026882,Genetic Function,CAUSES,splicing,C0035687,Genetic Function,False,TRUE
35632,splicing,C0035687,Genetic Function,PROCESS_OF,tau,C0281351,"Nucleic Acid, Nucleoside, or Nucleotide",False,TRUE
35632,parkinson’s disease,C0030567,Disease or Syndrome,ASSOCIATED_WITH,mutations,C0026882,Genetic Function,False,TRUE
35632,mutations,C0026882,Genetic Function,OCCURS_IN,leucinerich repeat kinase 2,C1425650,Gene or Genome,False,TRUE
35632,mutations,C0026882,Genetic Function,OCCURS_IN,α-synuclein,C1420276,Gene or Genome,False,TRUE
35632,mutations,C0026882,Genetic Function,OCCURS_IN,parkin,C1311470,"Amino Acid, Peptide, or Protein",False,TRUE
35632,mutations,C0026882,Genetic Function,OCCURS_IN,pink1,C1422771,Gene or Genome,False,TRUE
35632,mutations,C0026882,Genetic Function,OCCURS_IN,dj-1,C1424222,Gene or Genome,False,TRUE
35632,pink1,C1422771,Gene or Genome,IS_A,mitochondrial kinase,C0914594,"Amino Acid, Peptide, or Protein",False,TRUE
35632,dj-1,C1424222,Gene or Genome,IS_A,protein,C0033684,"Amino Acid, Peptide, or Protein",False,TRUE
35632,dj-1,C1424222,Gene or Genome,PREVENTS,oxidative stress,C0242606,Cell or Molecular Dysfunction,False,TRUE
35632,parkin,C1311470,"Amino Acid, Peptide, or Protein",IS_A,ubiquitin ligase,C0077678,"Amino Acid, Peptide, or Protein",False,TRUE
35632,parkinson’s disease,C0030567,Disease or Syndrome,MANIFESTATION_OF,lewy body,C0085200,Cell Component,False,TRUE
35632,lewy body,C0085200,Cell Component,CONTAINS,neurofilaments,C0027834,Cell Component,False,TRUE
35632,lewy body,C0085200,Cell Component,CONTAINS,α-synuclein,C1420276,Gene or Genome,False,TRUE
35632,expansions,C0196940,Therapeutic or Preventive Procedure,OCCURS_IN,proteins,C0033684,"Amino Acid, Peptide, or Protein",False,TRUE
35632,proteins,C0033684,"Amino Acid, Peptide, or Protein",PRODUCES,inclusions,C0007637,Cell Component,False,TRUE
35632,als,C0002736,Disease or Syndrome,ASSOCIATED_WITH,superoxide dismutase mutations,C0038838,"Amino Acid, Peptide, or Protein",False,TRUE
35632,als,C0002736,Disease or Syndrome,ASSOCIATED_WITH,inclusions,C0007637,Cell Component,False,TRUE
35632,inclusions,C0007637,Cell Component,CONTAINS,superoxide dismutase,C0038838,"Amino Acid, Peptide, or Protein",False,TRUE
35632,inclusions,C0007637,Cell Component,OCCURS_IN,als,C0002736,Disease or Syndrome,False,TRUE
35632,inclusions,C0007637,Cell Component,OCCURS_IN,frontotemporal dementia,C0236642,Disease or Syndrome,False,TRUE
35632,mutations,C0026882,Genetic Function,CAUSES,neurohypophyseal diabetes insipidus,C0687720,Disease or Syndrome,False,TRUE
35632,mutations,C0026882,Genetic Function,CAUSES,cell death,C0007587,Cell Function,False,TRUE
35633,mitochondrial dynamics,C3494415,Cell Function,ASSOCIATED_WITH,cell death,C0007587,Cell Function,False,TRUE
35633,mitochondrial dynamics,C3494415,Cell Function,CONSISTS_OF,movement,C0026649,Organism Function,False,TRUE
35633,movement,C0026649,Organism Function,PROCESS_OF,mitochondria,C0026237,Cell Component,False,TRUE
35633,mitochondrial dynamics,C3494415,Cell Function,CONSISTS_OF,mitochondrial fission,C0230871,Cell Function,False,TRUE
35633,mitochondrial fission,C0230871,Cell Function,PROCESS_OF,mitochondria,C0026237,Cell Component,False,TRUE
35633,mutations,C0026882,Genetic Function,CAUSES,friedreich’s ataxia,C0016719,Disease or Syndrome,False,TRUE
35633,mutations,C0026882,Genetic Function,OCCURS_IN,iron-binding protein,C1135611,"Amino Acid, Peptide, or Protein",False,TRUE
35633,iron-sulfur clusters,C1656942,Molecular Function,OCCURS_IN,aconitase,C0001156,"Amino Acid, Peptide, or Protein",False,TRUE
35633,complex i,C0171406,"Amino Acid, Peptide, or Protein",PART_OF,electron transport chain,C2244392,Molecular Function,False,TRUE
35633,dynamin-related proteins,C0669938,"Amino Acid, Peptide, or Protein",CAUSES,mitochondrial fission,C0230871,Cell Function,False,TRUE
35633,drp1,C1413714,Gene or Genome,INTERACTS_WITH,receptor,C0597357,"Amino Acid, Peptide, or Protein",False,TRUE
35633,optic atrophy protein 1,C0961738,"Amino Acid, Peptide, or Protein",PERFORMS,inner mitochondrial membrane,C0230840,Cell Component,False,TRUE
35633,mutations,C0026882,Genetic Function,OCCURS_IN,mfn2,C1424611,Gene or Genome,False,TRUE
35633,mutations,C0026882,Genetic Function,CAUSES,charcot-marie-tooth neuropathy type 2a,C0751036,Disease or Syndrome,False,TRUE
35633,mutations,C0026882,Genetic Function,CAUSES,optic atrophy,C0029124,Disease or Syndrome,False,TRUE
35633,β-amyloid,C0002716,"Amino Acid, Peptide, or Protein",CAUSES,neuronal cell death,C2754100,Cell Function,False,TRUE
35633,drp1,C1413714,Gene or Genome,ASSOCIATED_WITH,neuronal cell death,C2754100,Cell Function,False,TRUE
35634,oligomers,C1881903,"Nucleic Acid, Nucleoside, or Nucleotide",OCCURS_IN,neurodegenerative diseases,C0524851,Disease or Syndrome,False,TRUE
35634,oligomers,C1881903,"Nucleic Acid, Nucleoside, or Nucleotide",CONSISTS_OF,β-amyloid,C0002716,"Amino Acid, Peptide, or Protein",False,TRUE
35634,oligomers,C1881903,"Nucleic Acid, Nucleoside, or Nucleotide",CONSISTS_OF,α-synuclein,C1420276,Gene or Genome,False,TRUE
35634,oligomers,C1881903,"Nucleic Acid, Nucleoside, or Nucleotide",CONSISTS_OF,proteins,C0033684,"Amino Acid, Peptide, or Protein",False,TRUE
35634,proteins,C0033684,"Amino Acid, Peptide, or Protein",CONTAINS,polyglutamines,C0392213,"Amino Acid, Peptide, or Protein",False,TRUE
35634,polyglutamines,C0392213,"Amino Acid, Peptide, or Protein",ASSOCIATED_WITH,huntington’s disease,C0020179,Disease or Syndrome,False,TRUE
35634,26s component,C1179435,"Amino Acid, Peptide, or Protein",PART_OF,proteasome,C0208355,"Amino Acid, Peptide, or Protein",False,TRUE
35635,degradation,C0243125,Organism Function,OCCURS_IN,lysosomes,C0024369,Cell Component,False,TRUE
35635,ad,C0002395,Disease or Syndrome,DISRUPTS,autophagy,C0004391,Cell Function,False,TRUE
35635,parkinson’s disease,C0030567,Disease or Syndrome,DISRUPTS,autophagy,C0004391,Cell Function,False,TRUE
35635,huntington’s disease,C0020179,Disease or Syndrome,DISRUPTS,autophagy,C0004391,Cell Function,False,TRUE
35635,autophagy,C0004391,Cell Function,AFFECTS,neurons,C0027882,Cell,False,TRUE
35635,rapamycin,C0072980,Organic Chemical,CAUSES,autophagy,C0004391,Cell Function,False,TRUE
35635,rapamycin,C0072980,Organic Chemical,TREATS,ad,C0002395,Disease or Syndrome,False,TRUE
35635,rapamycin,C0072980,Organic Chemical,TREATS,parkinson’s disease,C0030567,Disease or Syndrome,False,TRUE
35635,rapamycin,C0072980,Organic Chemical,TREATS,huntington’s disease,C0020179,Disease or Syndrome,False,TRUE
35636,mutations,C0026882,Genetic Function,ASSOCIATED_WITH,parkinson’s disease,C0030567,Disease or Syndrome,False,TRUE
35637,glucocerebrosidase,C0017768,"Amino Acid, Peptide, or Protein",INTERACTS_WITH,α-synuclein,C1420276,Gene or Genome,False,TRUE
35637,glucocerebrosidase,C0017768,"Amino Acid, Peptide, or Protein",OCCURS_IN,substantia nigra,C0038590,"Body Part, Organ, or Organ Component",False,TRUE
35637,enzymatic activity,C0243102,Molecular Function,PROPERTY_OF,glucocerebrosidase,C0017768,"Amino Acid, Peptide, or Protein",False,TRUE
35637,parkinson’s disease,C0030567,Disease or Syndrome,DISRUPTS,enzymatic activity,C0243102,Molecular Function,False,TRUE
35637,autophagy,C0004391,Cell Function,AFFECTS,α-synuclein,C1420276,Gene or Genome,False,TRUE
35637,degradation,C0243125,Organism Function,AFFECTS,α-synuclein,C1420276,Gene or Genome,False,TRUE
35637,α-synuclein,C1420276,Gene or Genome,INHIBITS,glucocerebrosidase,C0017768,"Amino Acid, Peptide, or Protein",False,TRUE
35637,protein chaperones,C1332924,Gene or Genome,AFFECTS,glucocerebrosidase,C0017768,"Amino Acid, Peptide, or Protein",False,TRUE
35637,protein chaperones,C1332924,Gene or Genome,PREVENTS,degeneration,C0011164,Pathologic Function,False,TRUE
35638,retromer complex,C1325734,Cell Component,IS_A,membrane-associated protein complex,C0025252,"Amino Acid, Peptide, or Protein",False,TRUE
35638,retromer complex,C1325734,Cell Component,CONTAINS,vps35,C1422017,Gene or Genome,False,TRUE
35638,retromer complex,C1325734,Cell Component,CONTAINS,vps26,C1823638,Gene or Genome,False,TRUE
35638,retromer complex,C1325734,Cell Component,CONTAINS,vps29,C1422577,Gene or Genome,False,TRUE
35638,retromer complex,C1325734,Cell Component,CONTAINS,sorting nexin dimer,C2936363,"Amino Acid, Peptide, or Protein",False,TRUE
35638,mutations,C0026882,Genetic Function,CAUSES,parkinson’s disease,C0030567,Disease or Syndrome,False,TRUE
35638,chaperones,C0243041,"Amino Acid, Peptide, or Protein",AFFECTS,retromer complex,C1325734,Cell Component,False,TRUE
35639,mutations,C0026882,Genetic Function,PROPERTY_OF,lrrk2,C1425650,Gene or Genome,False,TRUE
35639,ribosomal protein s15 phosphorylation,C1158886,Molecular Function,CAUSES,protein synthesis,C0597295,Molecular Function,False,TRUE
35639,phosphorylation,C0031715,Molecular Function,CAUSES,cell death,C0007587,Cell Function,False,TRUE
35639,neurite,C0085103,Cell Component,OCCURS_IN,cortical neurons,C0001613,"Body Part, Organ, or Organ Component",False,TRUE
35639,cell death,C0007587,Cell Function,OCCURS_IN,cortical neurons,C0001613,"Body Part, Organ, or Organ Component",False,TRUE
35640,huntington’s disease,C0020179,Disease or Syndrome,DISRUPTS,transcriptional co-regulator,C1149370,Genetic Function,False,TRUE
35640,pgc-1α,C3890372,Gene or Genome,REGULATES,mitochondrial biogenesis,C3494456,Cell Function,False,TRUE
35640,impaired function,C1565489,Disease or Syndrome,PROPERTY_OF,pgc-1α,C3890372,Gene or Genome,False,TRUE
35640,antibodies,C0003241,"Amino Acid, Peptide, or Protein",INTERACTS_WITH,tau,C0281351,"Nucleic Acid, Nucleoside, or Nucleotide",False,TRUE
35640,antibodies,C0003241,"Amino Acid, Peptide, or Protein",INTERACTS_WITH,α-synuclein,C1420276,Gene or Genome,False,TRUE
35640,antibodies,C0003241,"Amino Acid, Peptide, or Protein",PREVENTS,neuron-to-neuron propagation,C0027882,Cell,False,TRUE
35641,amyloid plaques,C0333463,Acquired Abnormality,OCCURS_IN,kuru,C0022802,Disease or Syndrome,False,TRUE
35641,amyloid plaques,C0333463,Acquired Abnormality,OCCURS_IN,creutzfeldt-jakob disease,C0022336,Disease or Syndrome,False,TRUE
35641,amyloid plaques,C0333463,Acquired Abnormality,CONTAINS,prpsc,C0074204,"Amino Acid, Peptide, or Protein",False,TRUE
35641,prpsc,C0074204,"Amino Acid, Peptide, or Protein",IS_A,prions,C0033164,"Amino Acid, Peptide, or Protein",False,TRUE
35641,infectious pathogens,C0009450,Disease or Syndrome,CAUSES,diseases,C0012634,Disease or Syndrome,False,TRUE
35642,amyloid plaques,C0333463,Acquired Abnormality,OCCURS_IN,ad,C0002395,Disease or Syndrome,False,TRUE
35642,amyloid plaques,C0333463,Acquired Abnormality,CONTAINS,prions,C0033164,"Amino Acid, Peptide, or Protein",False,TRUE
35642,prions,C0033164,"Amino Acid, Peptide, or Protein",FORMS,fibrils,C0225328,Cell Component,False,TRUE
35642,genetic linkage,C0023745,Molecular Function,ASSOCIATED_WITH,cjd,C0022336,Disease or Syndrome,False,TRUE
35642,genetic linkage,C0023745,Molecular Function,ASSOCIATED_WITH,mutations,C0026882,Genetic Function,False,TRUE
35642,mutations,C0026882,Genetic Function,PROPERTY_OF,prp gene,C0017337,Gene or Genome,False,TRUE
35642,ad,C0002395,Disease or Syndrome,ASSOCIATED_WITH,mutations,C0026882,Genetic Function,False,TRUE
35642,mutations,C0026882,Genetic Function,PROPERTY_OF,app gene,C1364818,Gene or Genome,False,TRUE
35642,mutation,C0026882,Genetic Function,PROPERTY_OF,app gene,C1364818,Gene or Genome,False,TRUE
35643,mutant proteins,C1564139,"Amino Acid, Peptide, or Protein",OCCURS_IN,brains,C0006104,"Body Part, Organ, or Organ Component",False,TRUE
35643,mutant protein,C1564139,"Amino Acid, Peptide, or Protein",DEVELOPMENTAL_FORM_OF,prion,C0033164,"Amino Acid, Peptide, or Protein",False,TRUE
35643,neurodegenerative diseases,C0524851,Disease or Syndrome,IS_A,disorders,C0012634,Disease or Syndrome,False,TRUE
35643,disorders,C0012634,Disease or Syndrome,OCCURS_IN,nervous system,C0027763,Body System,False,TRUE
35644,prions,C0033164,"Amino Acid, Peptide, or Protein",ASSOCIATED_WITH,illnesses,C0221423,Sign or Symptom,False,TRUE
35644,prions,C0033164,"Amino Acid, Peptide, or Protein",CAUSES,insomnia,C0917801,Sign or Symptom,False,TRUE
35644,scrapie,C0036457,Disease or Syndrome,OCCURS_IN,sheep,C0036945,Mammal,False,TRUE
35644,scrapie,C0036457,Disease or Syndrome,OCCURS_IN,goats,C0018019,Mammal,False,TRUE
35644,chronic wasting disease,C1135993,Disease or Syndrome,OCCURS_IN,deer,C0011133,Mammal,False,TRUE
35644,chronic wasting disease,C1135993,Disease or Syndrome,OCCURS_IN,elk,C0325228,Mammal,False,TRUE
35645,tau protein,C0085401,"Amino Acid, Peptide, or Protein",ASSOCIATED_WITH,pathogenesis,C0699748,Pathologic Function,False,TRUE
35645,strain,C0080194,Injury or Poisoning,CONCEPTUAL_PART_OF,prions,C0033164,"Amino Acid, Peptide, or Protein",False,TRUE
35645,prions,C0033164,"Amino Acid, Peptide, or Protein",LOCATION_OF,brains,C0006104,"Body Part, Organ, or Organ Component",False,TRUE
35650,prions,C0033164,"Amino Acid, Peptide, or Protein",LOCATION_OF,mammals,C0024660,Mammal,False,TRUE
35650,prions,C0033164,"Amino Acid, Peptide, or Protein",LOCATION_OF,fungi,C0016832,Fungus,False,TRUE
35651,prion proteins,C0033164,"Amino Acid, Peptide, or Protein",PROPERTY_OF,mammal,C0024660,Mammal,False,TRUE
35651,prions,C0033164,"Amino Acid, Peptide, or Protein",AFFECTS,host,C1167395,Organism,False,TRUE
35651,ionizing radiation,C0034538,Natural Phenomenon or Process,MEASURES,prpsc,C0074204,"Amino Acid, Peptide, or Protein",False,TRUE
35652,drugs,C0013227,Pharmacologic Substance,PRODUCES,degradation,C0243125,Organism Function,False,TRUE
35652,degradation,C0243125,Organism Function,PROCESS_OF,prions,C0033164,"Amino Acid, Peptide, or Protein",False,TRUE
35652,drugs,C0013227,Pharmacologic Substance,TRAVERSES,blood-brain barrier,C0005854,"Body Part, Organ, or Organ Component",False,TRUE
35652,tau,C0281351,"Nucleic Acid, Nucleoside, or Nucleotide",ASSOCIATED_WITH,tdp43,C1420588,Gene or Genome,False,TRUE
35652,tdp43,C1420588,Gene or Genome,ASSOCIATED_WITH,fus,C0268696,Disease or Syndrome,False,TRUE
35652,fus,C0268696,Disease or Syndrome,ASSOCIATED_WITH,c9orf72,C1428691,Gene or Genome,False,TRUE
35653,amyotrophic lateral sclerosis,C0002736,Disease or Syndrome,ASSOCIATED_WITH,sod1,C0010461,"Amino Acid, Peptide, or Protein",False,TRUE
35653,amyotrophic lateral sclerosis,C0002736,Disease or Syndrome,ASSOCIATED_WITH,tdp43,C1420588,Gene or Genome,False,TRUE
35653,huntington’s disease,C0020179,Disease or Syndrome,ASSOCIATED_WITH,huntingtin,C0252274,"Amino Acid, Peptide, or Protein",False,TRUE
35653,incubation,C2752975,Individual Behavior,OCCURS_IN,mice,C0025914,Mammal,False,TRUE
35653,mice,C0025914,Mammal,EXHIBITS,illness,C0221423,Sign or Symptom,False,TRUE
35653,mutation,C0026882,Genetic Function,OCCURS_IN,mice,C0025914,Mammal,False,TRUE
35653,mutations,C0026882,Genetic Function,OCCURS_IN,prions,C0033164,"Amino Acid, Peptide, or Protein",False,TRUE
35653,prions,C0033164,"Amino Acid, Peptide, or Protein",OCCURS_IN,mammals,C0024660,Mammal,False,TRUE
35653,drugs,C0013227,Pharmacologic Substance,METHOD_OF,therapeutics,C0087111,Therapeutic or Preventive Procedure,False,TRUE
35654,neural circuits,C0814033,"Body Part, Organ, or Organ Component",FUNCTIONALLY_RELATED_TO,brain function,C0678908,Organ or Tissue Function,False,TRUE
35654,neural circuits,C0814033,"Body Part, Organ, or Organ Component",FUNCTIONALLY_RELATED_TO,behavior,C0004927,Behavior,False,TRUE
35654,neural circuits,C0814033,"Body Part, Organ, or Organ Component",FUNCTIONALLY_RELATED_TO,cognition,C0009240,Mental Process,False,TRUE
35654,brain imaging techniques,C0079595,Diagnostic Procedure,ANALYZES,cognitive processes,C0871689,Mental Process,False,TRUE
35654,bolus,C1186706,Body Substance,TRAVERSES,brain,C0006104,"Body Part, Organ, or Organ Component",False,TRUE
35654,blood oxygenation,C1260866,Therapeutic or Preventive Procedure,CO_OCCURS_WITH,brain activity,C0443158,Physiologic Function,False,TRUE
35655,glucose metabolism,C0596620,Molecular Function,OCCURS_IN,temporoparietal cortex,C0030560,"Body Part, Organ, or Organ Component",False,TRUE
35655,amyloid,C0002716,"Amino Acid, Peptide, or Protein",AFFECTS,temporoparietal cortex,C0030560,"Body Part, Organ, or Organ Component",False,TRUE
35655,default network,C5380443,Body Location or Region,IS_A,pathways,C1704259,Molecular Function,False,TRUE
35655,pathways,C1704259,Molecular Function,AFFECTS,prions,C0033164,"Amino Acid, Peptide, or Protein",False,TRUE
35655,pathways,C1704259,Molecular Function,AFFECTS,β-amyloid,C0002716,"Amino Acid, Peptide, or Protein",False,TRUE
35655,pathways,C1704259,Molecular Function,AFFECTS,tau,C0281351,"Nucleic Acid, Nucleoside, or Nucleotide",False,TRUE
35655,pathways,C1704259,Molecular Function,AFFECTS,α-synuclein,C1420276,Gene or Genome,False,TRUE
35656,fmri,C0376335,Diagnostic Procedure,EVALUATION_OF,memory,C0025260,Mental Process,False,TRUE
35656,hippocampal,C0019564,"Body Part, Organ, or Organ Component",ASSOCIATED_WITH,declarative memory consolidation,C0679057,Mental Process,False,TRUE
35656,consolidation,C0521530,Disease or Syndrome,AFFECTS,hippocampus,C0019564,"Body Part, Organ, or Organ Component",False,TRUE
35656,retrieval,C1514918,Health Care Activity,PROCESS_OF,consolidated memories,C0679057,Mental Process,False,TRUE
35656,sequences,C0162326,Nucleotide Sequence,ASSOCIATED_WITH,normal movements,C0013384,Disease or Syndrome,False,TRUE
35656,sequences,C0162326,Nucleotide Sequence,ASSOCIATED_WITH,injury,C3263722,Injury or Poisoning,False,TRUE
35656,fmri,C0376335,Diagnostic Procedure,USES,occipital cortex,C0028785,"Body Part, Organ, or Organ Component",False,TRUE
35656,noninvasive brain-computer interfaces,C3494288,Medical Device,USES,brain activity,C0443158,Physiologic Function,False,TRUE
35656,exoskeleton devices,C4042941,Medical Device,USES,brain activity,C0443158,Physiologic Function,False,TRUE
35656,diffusion tensor imaging,C1537007,Diagnostic Procedure,EVALUATION_OF,myelin,C0026969,Tissue,False,TRUE
35656,diffusion tensor imaging,C1537007,Diagnostic Procedure,EVALUATION_OF,axonal injuries,C0752219,Injury or Poisoning,False,TRUE
35656,diffusion tensor imaging,C1537007,Diagnostic Procedure,EVALUATION_OF,brain development,C1160340,Organ or Tissue Function,False,TRUE
35657,prefrontal,C0226577,"Body Part, Organ, or Organ Component",PERFORMS,suppression,C0221103,Pathologic Function,False,TRUE
35657,suppression,C0221103,Pathologic Function,AFFECTS,default network,C5380443,Body Location or Region,False,TRUE
35657,electroencephalography,C0013819,Diagnostic Procedure,MEASURES,performance,C0597198,Individual Behavior,False,TRUE
35657,fmri,C0376335,Diagnostic Procedure,MEASURES,performance,C0597198,Individual Behavior,False,TRUE
35658,sodium dodecyl sulfate (sds),C0037506,Organic Chemical,INGREDIENT_OF,detergent treatment,C0011740,Chemical Viewed Functionally,False,TRUE
35658,detergent treatment,C0011740,Chemical Viewed Functionally,AFFECTS,lipids,C0023779,Organic Chemical,False,TRUE
35659,deep-brain stimulation,C0394162,Therapeutic or Preventive Procedure,IS_A,therapeutic intervention,C0808232,Therapeutic or Preventive Procedure,False,TRUE
35659,neurons,C0027882,Cell,LOCATION_OF,subthalamic nucleus,C0152355,"Body Part, Organ, or Organ Component",False,TRUE
35660,biomarker,C0005516,Clinical Attribute,ASSOCIATED_WITH,phenotypes,C0031437,Organism Attribute,False,TRUE
35660,health care databases,C0086388,Health Care Activity,CONTAINS,biomarker,C0005516,Clinical Attribute,False,TRUE
35663,seizure,C0036572,Sign or Symptom,OCCURS_IN,brain,C0006104,"Body Part, Organ, or Organ Component",False,TRUE
35664,epilepsy syndromes,C4505072,Disease or Syndrome,IS_A,epilepsy,C0014544,Disease or Syndrome,False,TRUE
35666,diagnostic approach,C0011900,Diagnostic Procedure,EVALUATION_OF,seizure,C0036572,Sign or Symptom,False,TRUE
35666,seizures,C0036572,Sign or Symptom,EXHIBITS,features,C1514562,Amino Acid Sequence,False,TRUE
35667,focal seizures,C0751495,Disease or Syndrome,IS_A,seizures,C0036572,Sign or Symptom,False,TRUE
35674,generalized seizures,C0234533,Disease or Syndrome,OCCURS_IN,cerebral hemispheres,C0228174,"Body Part, Organ, or Organ Component",False,TRUE
35675,focal seizures,C0751495,Disease or Syndrome,RESULT_OF,network,C0150775,Population Group,False,TRUE
35675,network,C0150775,Population Group,LOCATION_OF,cerebral hemisphere,C0228174,"Body Part, Organ, or Organ Component",False,TRUE
35677,focal seizures,C0751495,Disease or Syndrome,CAUSES,psychic symptoms,C1457887,Sign or Symptom,False,TRUE
35677,patient,C0030705,Patient or Disabled Group,EXHIBITS,focal motor seizure,C0016399,Disease or Syndrome,False,TRUE
35677,focal motor seizure,C0016399,Disease or Syndrome,OCCURS_IN,right primary motor cortex,C2336541,Body Location or Region,False,TRUE
35677,right primary motor cortex,C2336541,Body Location or Region,PERFORMS,hand movement,C0026649,Organism Function,False,TRUE
35677,movements,C0026649,Organism Function,OCCURS_IN,left hand,C0230371,"Body Part, Organ, or Organ Component",False,TRUE
35677,cortical region,C0001613,"Body Part, Organ, or Organ Component",PERFORMS,hand movement,C0026649,Organism Function,False,TRUE
35677,seizure,C0036572,Sign or Symptom,CAUSES,movements,C0026649,Organism Function,False,TRUE
35677,movements,C0026649,Organism Function,OCCURS_IN,hand,C0018563,"Body Part, Organ, or Organ Component",False,TRUE
35677,eeg,C0013819,Diagnostic Procedure,CO_OCCURS_WITH,seizure,C0036572,Sign or Symptom,False,TRUE
35677,eeg,C0013819,Diagnostic Procedure,INDICATES,discharges,C0012621,Body Substance,False,TRUE
35677,discharges,C0012621,Body Substance,LOCATION_OF,cerebral cortex,C0007776,"Body Part, Organ, or Organ Component",False,TRUE
35677,seizure,C0036572,Sign or Symptom,LOCATION_OF,cerebral convexity,C4329648,"Body Part, Organ, or Organ Component",False,TRUE
35677,seizure,C0036572,Sign or Symptom,OCCURS_IN,brain structures,C0006104,"Body Part, Organ, or Organ Component",False,TRUE
35678,jacksonian march,C1856053,Disease or Syndrome,MANIFESTATION_OF,seizure,C0036572,Sign or Symptom,False,TRUE
35678,seizure,C0036572,Sign or Symptom,TRAVERSES,motor cortex,C0026607,Body Location or Region,False,TRUE
35679,focal seizures,C0751495,Disease or Syndrome,OCCURS_IN,frontal cortex,C0016733,"Body Part, Organ, or Organ Component",False,TRUE
35679,sensation,C0036658,Organ or Tissue Function,MANIFESTATION_OF,odors,C0028884,Natural Phenomenon or Process,False,TRUE
35679,epigastric sensation,C0521440,Body Location or Region,OCCURS_IN,stomach,C0038351,"Body Part, Organ, or Organ Component",False,TRUE
35679,epigastric sensation,C0521440,Body Location or Region,OCCURS_IN,chest,C0817096,Body Location or Region,False,TRUE
35679,micropsia,C0233769,Sign or Symptom,IS_A,illusions,C0020903,Mental or Behavioral Dysfunction,False,TRUE
35680,focal seizure,C0751495,Disease or Syndrome,IS_A,seizures,C0036572,Sign or Symptom,False,TRUE
35680,behavioral arrest,C0683444,Diagnostic Procedure,CO_OCCURS_WITH,automatic behaviors,C0856975,Mental or Behavioral Dysfunction,False,TRUE
35680,automatic behaviors,C0856975,Mental or Behavioral Dysfunction,CONSISTS_OF,behaviors,C0004927,Behavior,False,TRUE
35680,chewing,C0024888,Organism Function,IS_A,behaviors,C0004927,Behavior,False,TRUE
35680,swallowing,C0011167,Organism Function,IS_A,behaviors,C0004927,Behavior,False,TRUE
35680,movements,C0026649,Organism Function,IS_A,behaviors,C0004927,Behavior,False,TRUE
35680,movements,C0026649,Organism Function,OCCURS_IN,hands,C0018563,"Body Part, Organ, or Organ Component",False,TRUE
35680,emotion,C0013987,Mental Process,MANIFESTATION_OF,behaviors,C0004927,Behavior,False,TRUE
35680,seizure,C0036572,Sign or Symptom,PRECEDES,examination,C0031809,Health Care Activity,False,TRUE
35680,examination,C0031809,Health Care Activity,INDICATES,anterograde amnesia,C0233795,Mental or Behavioral Dysfunction,False,TRUE
35681,clinical behaviors,C0004927,Behavior,ASSOCIATED_WITH,focal seizures,C0751495,Disease or Syndrome,False,TRUE
35682,focal seizures,C0751495,Disease or Syndrome,PRODUCES,generalized seizure,C0234533,Disease or Syndrome,False,TRUE
35682,focal seizures,C0751495,Disease or Syndrome,OCCURS_IN,frontal lobe,C0016733,"Body Part, Organ, or Organ Component",False,TRUE
35682,focal seizures,C0751495,Disease or Syndrome,OCCURS_IN,brain,C0006104,"Body Part, Organ, or Organ Component",False,TRUE
35682,focal seizure,C0751495,Disease or Syndrome,BRINGS_ABOUT,generalized seizure,C0234533,Disease or Syndrome,False,TRUE
35682,generalized convulsive phase,C0234533,Disease or Syndrome,PART_OF,seizure,C0036572,Sign or Symptom,False,TRUE
35682,evaluation,C0220825,Health Care Activity,EVALUATION_OF,epilepsies,C0014544,Disease or Syndrome,False,TRUE
35683,generalized seizures,C0234533,Disease or Syndrome,OCCURS_IN,brain,C0006104,"Body Part, Organ, or Organ Component",False,TRUE
35683,generalized seizures,C0234533,Disease or Syndrome,AFFECTS,cerebral hemispheres,C0228174,"Body Part, Organ, or Organ Component",False,TRUE
